,Booking_ID,stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,avg_price_per_room,is_canceled,arrival_day
135,INN00136,0,1,11,2017,10,2017-10-09,Online,155.0,0,9
136,INN00137,1,0,162,2018,7,2018-07-25,Online,121.5,1,25
137,INN00138,2,5,155,2018,6,2018-06-28,Online,90.95,0,28
138,INN00139,2,2,82,2018,5,2018-05-22,Online,109.65,0,22
139,INN00140,2,4,27,2018,4,2018-04-15,Online,142.72,1,15
140,INN00141,1,2,13,2018,5,2018-05-09,Offline,90.0,0,9
141,INN00142,0,2,245,2018,6,2018-06-17,Online,75.0,1,17
142,INN00143,0,2,11,2018,11,2018-11-18,Online,111.0,1,18
143,INN00144,2,2,266,2018,10,2018-10-30,Online,86.7,0,30
144,INN00145,1,0,39,2018,3,2018-03-28,Online,117.9,0,28
145,INN00146,0,2,13,2018,6,2018-06-01,Complementary,0.0,0,1
146,INN00147,0,4,112,2018,5,2018-05-04,Online,101.58,0,4
147,INN00148,1,2,88,2018,4,2018-04-08,Online,58.9,0,8
148,INN00149,0,1,56,2018,6,2018-06-08,Offline,120.0,0,8
149,INN00150,2,3,73,2018,4,2018-04-07,Online,107.1,1,7
150,INN00151,1,1,80,2018,5,2018-05-02,Online,126.9,0,2
151,INN00152,0,3,130,2018,9,2018-09-29,Online,139.5,1,29
152,INN00153,1,3,69,2018,4,2018-04-04,Online,80.75,0,4
153,INN00154,0,2,273,2017,7,2017-07-17,Online,109.0,1,17
154,INN00155,0,1,55,2018,4,2018-04-06,Offline,104.0,0,6
155,INN00156,0,3,4,2018,11,2018-11-01,Corporate,65.0,0,1
156,INN00157,0,3,97,2018,5,2018-05-24,Online,140.4,0,24
157,INN00158,0,3,44,2018,2,2018-02-17,Offline,75.0,0,17
158,INN00159,0,1,31,2018,4,2018-04-14,Online,94.5,1,14
159,INN00160,1,0,0,2018,6,2018-06-05,Online,109.0,0,5
160,INN00161,2,2,62,2018,11,2018-11-12,Online,105.0,0,12
161,INN00162,2,2,86,2018,4,2018-04-17,Online,107.95,0,17
162,INN00163,2,2,3,2018,10,2018-10-07,Online,215.6,0,7
163,INN00164,1,1,197,2018,8,2018-08-01,Online,85.5,0,1
164,INN00165,0,2,143,2018,7,2018-07-12,Online,105.3,0,12
165,INN00166,2,1,23,2018,1,2018-01-02,Online,1.0,0,2
166,INN00167,0,2,8,2018,6,2018-06-15,Online,156.0,1,15
167,INN00168,0,2,13,2018,11,2018-11-16,Online,73.15,0,16
168,INN00169,1,2,280,2018,9,2018-09-19,Online,110.0,1,19
169,INN00170,1,0,11,2017,9,2017-09-13,Online,87.4,0,13
170,INN00171,0,2,317,2018,9,2018-09-15,Online,120.0,1,15
171,INN00172,1,2,185,2018,12,2018-12-16,Online,79.2,1,16
172,INN00173,1,3,160,2018,6,2018-06-30,Online,90.95,0,30
173,INN00174,0,4,104,2018,10,2018-10-18,Online,91.48,0,18
174,INN00175,0,1,11,2018,11,2018-11-05,Online,150.0,1,5
175,INN00176,0,1,2,2018,3,2018-03-22,Online,89.0,0,22
176,INN00177,1,4,14,2018,8,2018-08-17,Online,91.43,0,17
177,INN00178,0,2,22,2018,5,2018-05-20,Offline,140.0,0,20
178,INN00179,2,5,37,2017,10,2017-10-24,Online,87.78,0,24
179,INN00180,0,2,292,2018,7,2018-07-21,Online,115.0,1,21
180,INN00181,0,3,11,2017,9,2017-09-09,Online,80.85,0,9
181,INN00182,1,3,86,2018,3,2018-03-31,Online,82.45,0,31
182,INN00183,0,1,109,2018,10,2018-10-11,Online,108.0,1,11
183,INN00184,1,1,72,2018,4,2018-04-02,Online,96.3,0,2
184,INN00185,1,5,196,2018,8,2018-08-22,Online,99.45,1,22
185,INN00186,0,2,56,2018,5,2018-05-13,Online,140.4,0,13
186,INN00187,1,3,189,2018,8,2018-08-08,Offline,72.25,0,8
187,INN00188,1,4,126,2018,8,2018-08-15,Online,126.0,0,15
188,INN00189,2,3,303,2018,8,2018-08-19,Online,78.0,1,19
189,INN00190,2,2,81,2018,11,2018-11-06,Online,146.6,0,6
190,INN00191,1,2,54,2018,10,2018-10-10,Online,118.8,1,10
191,INN00192,0,1,15,2018,10,2018-10-06,Online,145.0,1,6
192,INN00193,0,4,86,2018,4,2018-04-06,Online,84.58,1,6
193,INN00194,1,2,161,2018,3,2018-03-25,Online,130.0,1,25
194,INN00195,4,10,147,2018,8,2018-08-03,Online,118.88,1,3
195,INN00196,1,2,92,2018,5,2018-05-30,Offline,101.52,0,30
196,INN00197,0,1,87,2017,9,2017-09-11,Corporate,100.0,1,11
197,INN00198,2,1,109,2018,3,2018-03-20,Offline,58.0,0,20
198,INN00199,0,4,127,2018,3,2018-03-23,Offline,61.5,0,23
199,INN00200,1,2,418,2018,9,2018-09-26,Online,107.0,1,26
200,INN00201,1,4,156,2018,8,2018-08-24,Online,87.3,0,24
201,INN00202,0,2,80,2017,7,2017-07-16,Online,76.5,1,16
202,INN00203,2,2,211,2018,12,2018-12-16,Online,63.75,1,16
203,INN00204,1,2,273,2018,5,2018-05-13,Online,95.0,1,13
204,INN00205,2,1,58,2018,11,2018-11-19,Offline,75.0,0,19
205,INN00206,0,3,433,2018,9,2018-09-08,Online,70.0,1,8
206,INN00207,1,3,111,2018,5,2018-05-02,Online,101.58,0,2
207,INN00208,2,3,34,2018,8,2018-08-21,Offline,85.0,0,21
208,INN00209,2,4,17,2018,12,2018-12-03,Online,98.39,0,3
209,INN00210,0,0,4,2018,2,2018-02-27,Complementary,0.0,0,27
210,INN00211,0,3,6,2017,9,2017-09-22,Online,106.07,0,22
211,INN00212,1,1,32,2018,7,2018-07-18,Offline,105.0,0,18
212,INN00213,0,1,4,2017,9,2017-09-22,Online,145.0,0,22
213,INN00214,2,1,195,2018,8,2018-08-13,Online,106.03,1,13
214,INN00215,2,2,119,2018,8,2018-08-13,Online,114.3,0,13
215,INN00216,1,1,13,2018,12,2018-12-05,Online,88.0,0,5
216,INN00217,0,2,59,2017,10,2017-10-15,Online,89.25,0,15
217,INN00218,2,5,78,2018,3,2018-03-20,Online,86.32,0,20
218,INN00219,0,3,335,2018,10,2018-10-13,Offline,90.0,0,13
219,INN00220,2,5,103,2017,8,2017-08-22,Online,55.96,0,22
220,INN00221,0,2,0,2018,6,2018-06-08,Online,109.0,0,8
221,INN00222,0,1,118,2018,3,2018-03-01,Offline,86.0,0,1
222,INN00223,1,5,56,2018,9,2018-09-05,Online,118.95,0,5
223,INN00224,0,2,107,2018,6,2018-06-10,Offline,130.0,0,10
224,INN00225,1,3,70,2018,4,2018-04-14,Online,90.56,0,14
225,INN00226,0,2,76,2018,4,2018-04-01,Online,87.3,0,1
226,INN00227,2,2,144,2018,5,2018-05-27,Online,177.65,1,27
227,INN00228,2,2,4,2017,9,2017-09-19,Online,200.75,0,19
228,INN00229,0,2,15,2018,3,2018-03-18,Online,127.0,0,18
229,INN00230,1,2,32,2018,2,2018-02-05,Online,72.9,1,5
230,INN00231,1,1,49,2018,5,2018-05-07,Online,159.3,1,7
231,INN00232,1,3,77,2018,5,2018-05-12,Online,135.15,0,12
232,INN00233,0,2,22,2018,10,2018-10-28,Offline,90.0,0,28
233,INN00234,1,0,0,2017,10,2017-10-18,Online,114.0,0,18
234,INN00235,0,1,58,2018,6,2018-06-21,Online,125.1,0,21
235,INN00236,2,6,4,2017,8,2017-08-14,Online,95.13,0,14
236,INN00237,0,2,117,2018,4,2018-04-29,Online,105.84,1,29
237,INN00238,1,3,36,2018,12,2018-12-26,Online,102.0,1,26
238,INN00239,2,2,35,2018,12,2018-12-02,Online,74.8,0,2
239,INN00240,1,0,31,2018,4,2018-04-24,Online,94.5,1,24
240,INN00241,2,4,79,2018,6,2018-06-16,Online,120.6,0,16
241,INN00242,1,2,1,2017,10,2017-10-09,Online,139.33,0,9
242,INN00243,0,2,21,2017,9,2017-09-03,Online,105.0,0,3
243,INN00244,0,2,12,2018,9,2018-09-14,Corporate,100.0,0,14
244,INN00245,1,0,33,2018,2,2018-02-08,Online,80.3,0,8
245,INN00246,0,2,164,2017,10,2017-10-02,Offline,100.0,0,2
246,INN00247,0,3,78,2018,3,2018-03-24,Online,105.3,0,24
247,INN00248,0,4,18,2018,5,2018-05-31,Online,112.8,1,31
248,INN00249,1,2,21,2018,8,2018-08-15,Online,151.0,1,15
249,INN00250,1,3,0,2017,11,2017-11-09,Online,91.0,0,9
250,INN00251,2,1,152,2018,8,2018-08-13,Online,146.7,1,13
251,INN00252,2,3,43,2017,10,2017-10-02,Offline,58.4,0,2
252,INN00253,0,4,177,2018,7,2018-07-26,Online,80.75,1,26
253,INN00254,1,1,47,2018,5,2018-05-21,Offline,76.5,0,21
254,INN00255,0,3,57,2018,9,2018-09-07,Online,140.13,0,7
255,INN00256,2,4,60,2017,11,2017-11-15,Online,76.0,0,15
256,INN00257,0,1,0,2017,9,2017-09-16,Online,200.0,0,16
257,INN00258,0,2,102,2017,10,2017-10-16,Online,101.5,1,16
258,INN00259,0,3,71,2018,10,2018-10-18,Online,108.0,0,18
259,INN00260,2,3,111,2018,7,2018-07-23,Online,189.0,0,23
260,INN00261,1,1,1,2018,6,2018-06-11,Online,166.0,0,11
261,INN00262,1,1,4,2018,1,2018-01-16,Online,67.5,0,16
262,INN00263,1,3,25,2017,9,2017-09-14,Online,78.54,0,14
263,INN00264,2,2,209,2018,11,2018-11-06,Online,152.1,1,6
264,INN00265,2,1,93,2018,10,2018-10-15,Online,115.0,1,15
265,INN00266,2,5,53,2017,9,2017-09-02,Online,66.53,0,2
266,INN00267,0,2,1,2017,8,2017-08-12,Complementary,0.0,0,12
267,INN00268,2,1,4,2017,8,2017-08-23,Complementary,0.0,0,23
268,INN00269,0,3,302,2018,12,2018-12-29,Online,90.3,1,29
269,INN00270,0,2,122,2018,4,2018-04-15,Offline,85.0,0,15
270,INN00271,0,1,16,2018,3,2018-03-11,Corporate,75.0,0,11
271,INN00272,2,4,28,2018,8,2018-08-28,Online,115.37,1,28
272,INN00273,1,2,161,2018,3,2018-03-25,Online,130.0,1,25
273,INN00274,0,2,57,2018,12,2018-12-09,Online,126.0,0,9
274,INN00275,1,0,19,2018,6,2018-06-12,Online,94.35,0,12
275,INN00276,2,4,109,2018,7,2018-07-06,Online,118.46,0,6
276,INN00277,0,2,239,2018,6,2018-06-15,Online,90.6,1,15
277,INN00278,2,1,33,2018,3,2018-03-05,Online,82.9,0,5
278,INN00279,0,3,11,2017,8,2017-08-18,Online,95.33,0,18
279,INN00280,2,5,40,2018,4,2018-04-21,Online,135.64,0,21
280,INN00281,1,1,45,2018,6,2018-06-18,Offline,122.4,0,18
281,INN00282,1,3,41,2018,5,2018-05-09,Online,116.1,1,9
282,INN00283,0,4,167,2018,6,2018-06-28,Online,62.18,1,28
283,INN00284,0,4,62,2018,3,2018-03-09,Online,63.75,1,9
284,INN00285,1,4,113,2018,9,2018-09-07,Online,118.8,1,7
285,INN00286,0,2,1,2018,8,2018-08-10,Online,167.0,0,10
286,INN00287,2,2,84,2018,5,2018-05-13,Online,187.85,0,13
287,INN00288,2,2,68,2018,4,2018-04-24,Online,108.38,1,24
288,INN00289,0,1,9,2018,9,2018-09-07,Complementary,0.0,0,7
289,INN00290,1,2,245,2018,10,2018-10-28,Online,128.7,1,28
290,INN00291,1,3,80,2018,3,2018-03-17,Online,80.33,0,17
291,INN00292,1,1,7,2018,8,2018-08-22,Online,140.0,1,22
292,INN00293,1,1,128,2017,8,2017-08-08,Online,76.5,0,8
293,INN00294,2,1,100,2018,5,2018-05-01,Online,105.3,0,1
294,INN00295,2,1,118,2018,4,2018-04-03,Online,87.3,1,3
295,INN00296,0,3,166,2018,11,2018-11-01,Online,110.0,1,1
296,INN00297,0,1,41,2017,9,2017-09-04,Offline,83.0,0,4
297,INN00298,2,2,174,2018,8,2018-08-13,Online,99.45,0,13
298,INN00299,2,1,27,2017,12,2017-12-27,Offline,104.5,0,27
299,INN00300,2,6,2,2018,11,2018-11-16,Online,92.54,0,16
300,INN00301,0,3,37,2018,10,2018-10-13,Offline,95.0,0,13
301,INN00302,0,2,188,2018,6,2018-06-15,Online,130.0,1,15
302,INN00303,2,1,68,2018,1,2018-01-02,Offline,63.0,0,2
303,INN00304,1,2,189,2018,10,2018-10-28,Online,109.8,1,28
304,INN00305,1,0,10,2018,5,2018-05-16,Online,103.0,0,16
305,INN00306,2,1,19,2018,2,2018-02-20,Online,130.0,0,20
306,INN00307,0,2,61,2018,3,2018-03-23,Online,117.0,1,23
307,INN00308,0,4,95,2017,12,2017-12-29,Offline,60.5,0,29
308,INN00309,0,1,83,2017,9,2017-09-30,Offline,112.2,0,30
309,INN00310,1,3,37,2018,8,2018-08-01,Online,135.9,1,1
310,INN00311,1,0,19,2018,7,2018-07-25,Online,151.0,1,25
311,INN00312,0,2,22,2018,9,2018-09-16,Online,239.0,0,16
312,INN00313,2,1,22,2017,12,2017-12-26,Online,59.09,0,26
313,INN00314,2,5,151,2018,7,2018-07-09,Online,103.09,1,9
314,INN00315,2,1,26,2018,2,2018-02-28,Offline,87.0,0,28
315,INN00316,1,0,27,2018,4,2018-04-17,Online,137.0,1,17
316,INN00317,0,2,79,2018,6,2018-06-24,Offline,109.0,0,24
317,INN00318,1,1,247,2018,6,2018-06-06,Online,115.0,1,6
318,INN00319,2,3,189,2018,7,2018-07-17,Online,99.45,0,17
319,INN00320,0,2,320,2018,8,2018-08-18,Online,115.0,1,18
320,INN00321,1,2,27,2018,2,2018-02-22,Online,130.0,0,22
321,INN00322,1,0,51,2018,5,2018-05-22,Corporate,65.0,0,22
322,INN00323,0,2,245,2018,6,2018-06-17,Online,75.0,1,17
323,INN00324,1,2,52,2018,7,2018-07-08,Online,132.9,1,8
324,INN00325,2,0,13,2017,10,2017-10-18,Online,120.0,0,18
325,INN00326,0,2,46,2018,11,2018-11-11,Online,79.2,1,11
326,INN00327,2,1,84,2018,8,2018-08-28,Online,159.3,1,28
327,INN00328,0,2,188,2018,6,2018-06-15,Online,130.0,1,15
328,INN00329,0,3,19,2017,10,2017-10-06,Offline,90.0,0,6
329,INN00330,0,2,67,2018,5,2018-05-27,Online,140.4,0,27
330,INN00331,0,1,0,2017,8,2017-08-11,Online,75.0,0,11
331,INN00332,0,2,273,2017,7,2017-07-17,Online,109.0,1,17
332,INN00333,2,1,110,2017,7,2017-07-25,Online,94.5,1,25
333,INN00334,0,1,0,2017,12,2017-12-15,Corporate,75.0,0,15
334,INN00335,1,2,32,2017,10,2017-10-23,Offline,75.0,0,23
335,INN00336,2,1,282,2017,10,2017-10-10,Offline,76.67,0,10
336,INN00337,2,2,38,2018,10,2018-10-02,Online,126.0,0,2
337,INN00338,1,1,175,2018,7,2018-07-23,Online,85.5,0,23
338,INN00339,0,3,143,2018,8,2018-08-18,Online,140.7,1,18
339,INN00340,2,2,127,2018,6,2018-06-26,Online,103.7,0,26
340,INN00341,0,1,0,2017,9,2017-09-08,Online,142.0,0,8
341,INN00342,2,5,95,2018,12,2018-12-21,Online,103.7,0,21
342,INN00343,1,2,118,2018,6,2018-06-06,Offline,110.0,0,6
343,INN00344,0,3,45,2018,11,2018-11-10,Offline,75.0,0,10
344,INN00345,1,1,69,2018,7,2018-07-25,Online,137.7,0,25
345,INN00346,0,1,57,2018,9,2018-09-07,Online,87.3,0,7
346,INN00347,0,2,5,2018,8,2018-08-24,Complementary,0.0,0,24
347,INN00348,0,2,39,2017,8,2017-08-14,Offline,101.5,0,14
348,INN00349,0,1,0,2018,2,2018-02-24,Online,97.0,0,24
349,INN00350,1,1,89,2018,8,2018-08-15,Online,150.3,0,15
350,INN00351,0,4,85,2018,3,2018-03-29,Online,82.45,0,29
351,INN00352,0,1,4,2018,7,2018-07-01,Corporate,103.0,0,1
352,INN00353,2,6,11,2018,7,2018-07-05,Online,145.0,1,5
353,INN00354,1,1,12,2018,7,2018-07-11,Online,145.0,0,11
354,INN00355,2,2,77,2018,5,2018-05-14,Online,134.85,0,14
355,INN00356,1,1,14,2018,10,2018-10-22,Online,168.25,0,22
356,INN00357,2,1,1,2018,2,2018-02-28,Online,60.0,1,28
357,INN00358,1,3,133,2018,6,2018-06-13,Offline,76.0,0,13
358,INN00359,1,2,3,2017,8,2017-08-10,Offline,63.5,0,10
359,INN00360,2,0,19,2018,9,2018-09-18,Offline,95.0,0,18
360,INN00361,2,2,86,2018,9,2018-09-03,Offline,90.95,0,3
361,INN00362,0,2,23,2017,10,2017-10-16,Online,98.4,0,16
362,INN00363,0,1,65,2018,9,2018-09-22,Online,135.9,0,22
363,INN00364,0,2,1,2018,11,2018-11-16,Online,130.0,0,16
364,INN00365,0,1,66,2017,11,2017-11-19,Online,81.9,0,19
365,INN00366,1,4,50,2018,2,2018-02-22,Online,78.85,0,22
366,INN00367,2,3,87,2018,6,2018-06-26,Online,141.3,1,26
367,INN00368,1,1,159,2018,4,2018-04-09,Offline,70.0,0,9
368,INN00369,2,3,39,2018,8,2018-08-13,Online,170.1,0,13
369,INN00370,2,0,386,2018,10,2018-10-23,Online,115.0,1,23
370,INN00371,0,5,22,2017,12,2017-12-29,Online,199.0,0,29
371,INN00372,2,2,102,2018,7,2018-07-10,Offline,82.45,0,10
372,INN00373,0,3,86,2018,10,2018-10-20,Online,192.86,0,20
373,INN00374,2,2,56,2017,9,2017-09-25,Offline,185.0,0,25
374,INN00375,2,6,36,2018,12,2018-12-10,Online,68.07,0,10
375,INN00376,0,3,50,2018,10,2018-10-04,Online,118.8,0,4
376,INN00377,0,2,115,2018,10,2018-10-27,Online,104.4,1,27
377,INN00378,0,1,0,2018,3,2018-03-23,Corporate,65.0,0,23
378,INN00379,1,3,35,2018,3,2018-03-03,Online,71.1,1,3
379,INN00380,2,1,17,2018,5,2018-05-21,Offline,95.0,0,21
380,INN00381,4,11,237,2018,9,2018-09-13,Online,116.62,1,13
